id,question,GT_Value,GT_Ref,GT_Explanation,answer_unit,ensemble-top3-majority_Value,ensemble-top3-majority_Ref,ensemble-top3-majority_ValCorrect,ensemble-top3-majority_RefScore,ensemble-top3-majority_NACorrect,mistral7b-bench_Value,mistral7b-bench_Ref,mistral7b-bench_ValCorrect,mistral7b-bench_RefScore,mistral7b-bench_NACorrect,mixtral-8x22b-bench_Value,mixtral-8x22b-bench_Ref,mixtral-8x22b-bench_ValCorrect,mixtral-8x22b-bench_RefScore,mixtral-8x22b-bench_NACorrect,mixtral-8x7b-bench_Value,mixtral-8x7b-bench_Ref,mixtral-8x7b-bench_ValCorrect,mixtral-8x7b-bench_RefScore,mixtral-8x7b-bench_NACorrect,olmoe-1b7b-bench_Value,olmoe-1b7b-bench_Ref,olmoe-1b7b-bench_ValCorrect,olmoe-1b7b-bench_RefScore,olmoe-1b7b-bench_NACorrect,phi3-mini-bench_Value,phi3-mini-bench_Ref,phi3-mini-bench_ValCorrect,phi3-mini-bench_RefScore,phi3-mini-bench_NACorrect,qwen14b-bench_Value,qwen14b-bench_Ref,qwen14b-bench_ValCorrect,qwen14b-bench_RefScore,qwen14b-bench_NACorrect,qwen3-30b-a3b-bench_Value,qwen3-30b-a3b-bench_Ref,qwen3-30b-a3b-bench_ValCorrect,qwen3-30b-a3b-bench_RefScore,qwen3-30b-a3b-bench_NACorrect,qwen32b-bench_Value,qwen32b-bench_Ref,qwen32b-bench_ValCorrect,qwen32b-bench_RefScore,qwen32b-bench_NACorrect,qwen3b-bench_Value,qwen3b-bench_Ref,qwen3b-bench_ValCorrect,qwen3b-bench_RefScore,qwen3b-bench_NACorrect,qwen72b-bench_Value,qwen72b-bench_Ref,qwen72b-bench_ValCorrect,qwen72b-bench_RefScore,qwen72b-bench_NACorrect,qwen7b-bench_Value,qwen7b-bench_Ref,qwen7b-bench_ValCorrect,qwen7b-bench_RefScore,qwen7b-bench_NACorrect
q013,"What were the total permitted annual emission limits (in tons) for nitrogen oxides from data center backup generators in northern Virginia between January 1, 2023 and December 1, 2024?",13000,['han2024'],Quote,tons,13000,"[""han2024""]",True,1.0,True,11702,"[""han2024""]",False,1.0,True,"13,000","[""han2024""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,"13000, 1400, 50, 600","[""han2024""]",False,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True,13000,"[""han2024""]",True,1.0,True
q014,A 2025 paper compares its training time to a from-scratch approach. What percentage of time was saved by using the growth strategy for the 101B model?,72,['li2025a'],Quote,percent,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,6,"[""li2025a""]",False,1.0,True,,[],False,0.0,True,72,"[""li2025a"", ""erben2023""]",True,0.5,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True,72,"[""li2025a""]",True,1.0,True
q015,Approximately how many premature deaths in 2030 could be caused by scope-2 pollutants from U.S. data centers alone?,1300,['han2024'],Quote,deaths,is_blank,"[""han2024"", ""is_blank""]",False,0.5,True,is_blank,"[""han2024""]",False,1.0,True,1300,"[""han2024""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,,[],False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,1300,"[""han2024""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,220-300,"[""han2024""]",False,1.0,True,is_blank,"[""han2024""]",False,1.0,True,1300,"[""han2024""]",True,1.0,True
q016,Dodge et al. (2022) estimate that a full training run of the 6.1 billion parameter model would take approximately how many days?,60,['dodge2022'],Quote,days,60,"[""dodge2022""]",True,1.0,True,6.72,"[""dodge2022""]",False,1.0,True,52,"[""dodge2022""]",False,1.0,True,103593,"[""dodge2022""]",False,1.0,True,,[],False,0.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,60,"[""dodge2022""]",True,1.0,True,8,"[""wu2021a"", ""dodge2022""]",False,0.5,True,60,"[""dodge2022""]",True,1.0,True,103593,"[""dodge2022""]",False,1.0,True
q017,"For the inference process, which model has the highest GPU energy consumption for 1,000 queries among those listed in the appendix of a 2025 study?",Command-R Plus,['luccioni2025c'],Table 2 in the Appendix shows the GPU Energy (Wh) for various models. The highest value listed is 3426.12 Wh for the Command-R Plus model.,is_blank,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""fernandez2025"", ""zschache2025""]",False,0.0,True,is_blank,"[""fernandez2025""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,is_blank,"[""zschache2025"", ""samsi2024"", ""luccioni2024""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,Unable to answer with confidence based on the provided documents.,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,OLMo 1B,"[""fernandez2025""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""fernandez2025"", ""zschache2025"", ""rubei2025"", ""samsi2024"", ""luccioni2024""]",False,0.0,True
q018,In what year was the One Hundred Year Study on Artificial Intelligence launched?,2014,['stone2022'],Quote,year,2014,"[""stone2022""]",True,1.0,True,is_blank,"[""stone2022""]",False,1.0,True,2014,"[""stone2022""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,2014,"[""stone2022"", ""stone2022"", ""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True,2014,"[""stone2022""]",True,1.0,True
q019,"According to the UN's Global E-Waste Monitor 2024, what percentage of e-waste has been formally collected and recycled?",22,['luccioni2025a'],Quote,percent,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,0.22,"[""luccioni2025a""]",False,1.0,True,,[],False,0.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True,22,"[""luccioni2025a""]",True,1.0,True
q020,What is the energy consumption (in MWh) for pre-training the BLOOM model?,520,['luccioni2025c'],Table 1 in the Appendix.,MWh,51686,"[""luccioni2024""]",False,0.0,True,is_blank,"[""ebert2024""]",False,0.0,True,is_blank,"[""ebert2024""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,is_blank,"[""ebert2024, cottier2024, luccioni2024, dodge2022""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,Unable to answer with confidence based on the provided documents.,"[""luccioni2024""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""ebert2024""]",False,0.0,True,51686,"[""luccioni2024""]",False,0.0,True,7571,"[""ebert2024""]",False,0.0,True
q021,What percentage of the Switch Transformer's 1500 billion parameters are activated per token?,0.1,['patterson2021'],Quote,percent,0.1,"[""patterson2021""]",True,1.0,True,is_blank,"[""wu2021a""]",False,0.0,True,0.1%,"[""wu2021a""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,"103,593","[""patterson2021"", ""dodge2022""]",False,0.5,True,0.1,"[""patterson2021""]",True,1.0,True,0.1,"[""patterson2021""]",True,1.0,True,0.1,"[""patterson2021""]",True,1.0,True,1500,"[""wu2021a""]",False,0.0,True,0.1,"[""patterson2021""]",True,1.0,True,0.1,"[""wu2021a"", ""patterson2021""]",True,0.5,True
q022,The JetMoE-8B architecture is a Mixture-of-Experts (MoE) model. How many experts are included in each MoE layer?,8,['shen2024'],Table 1,experts,8,"[""shen2024""]",True,1.0,True,is_blank,"[""shen2024""]",False,1.0,True,is_blank,"[""shen2024""]",False,1.0,True,is_blank,"[""shen2024""]",False,1.0,True,,[],False,0.0,True,1,"[""shen2024""]",False,1.0,True,8,"[""shen2024""]",True,1.0,True,8,"[""shen2024""]",True,1.0,True,8,"[""shen2024""]",True,1.0,True,8,"[""shen2024""]",True,1.0,True,8,"[""shen2024""]",True,1.0,True,8,"[""shen2024""]",True,1.0,True
q023,"What is the total execution time, in seconds, of a dense BlackMamba model with a batch size of 30 fine-tuned with a NVIDIA A40-48 GB GPU?",1,['xia2024'],Figure,second,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""xia2024""]",False,1.0,True,is_blank,"[""xia2024""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,,[],False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,1.5,"[""xia2024""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,Matrix multiplications,"[""xia2024""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True
q024,"According to a cost estimation, how many zettaFLOPs were required to train the English portion of the FLM-101B model?",28.22,['li2025a'],Quote and Table 4,zettaFLOPs,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""li2025a""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""li2025a""]",True,1.0,True,,[],False,0.0,True,28.22,"[""li2025a""]",True,1.0,True,28.22,"[""[ref_id=li2025a]""]",True,0.0,True
q025,Which hardware processor was reported for the experimental setup of energy-efficient local inference in financial sentiment classification?,Intel Core i7-1165G7,['khan2025'],Quote,is_blank,11th Gen Intel(R) Core(TM) i7-1165G7,"[""khan2025""]",False,1.0,True,is_blank,"[""zschache2025""]",False,0.0,True,is_blank,"[""samsi2024"", ""khan2025""]",False,0.5,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,1,"[""zschache2025,samsi2024,khan2025""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,11th Gen Intel(R) Core(TM) i7-1165G7 processor,"[""khan2025""]",False,1.0,True,11th Gen Intel(R) Core(TM) i7-1165G7 processor,"[""khan2025""]",False,1.0,True,2,"[""zschache2025""]",False,0.0,True,11th Gen Intel(R) Core(TM) i7-1165G7,"[""khan2025""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True
q026,How many different machine learning models were sampled and analyzed for the 'Power Hungry Processing' (2024) study on AI deployment costs?,88,['luccioni2024'],Quote,models,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""luccioni2024"", ""luccioni2025c""]",False,0.5,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,,[],False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,Unable to answer with confidence based on the provided documents.,"[""luccioni2024"", ""luccioni2025b"", ""zschache2025""]",False,0.3333333333333333,True,is_blank,"[""is_blank""]",False,0.0,True,14386,"[""59""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True,is_blank,"[""is_blank""]",False,0.0,True
q027,By what factor does the overall carbon footprint decrease if GPU utilization is increased to 80% for Language Model (LM) training?,3,['wu2021a'],"Figure, Quote",multiplier,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,is_blank,"[""wu2021a""]",False,1.0,True,,[],False,0.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True,3,"[""wu2021a""]",True,1.0,True
q028,Cottier et al. (2025) find that the total compute for model development is how many times larger than the compute for the final training run alone?,"[1.2,4]",['cottier2024'],Quote,multiplier,1.2 to 4,"[""cottier2024""]",True,1.0,True,is_blank,"[""cottier2024""]",False,1.0,True,2.2,"[""cottier2024""]",True,1.0,True,is_blank,"[""cottier2024""]",False,1.0,True,,[],False,0.0,True,1.2 to 4,"[""cottier2024"", ""morrison2025""]",True,0.5,True,1.2,"[""cottier2024""]",True,1.0,True,1.2x to 4x,"[""cottier2024""]",False,1.0,True,1.2x to 4x,"[""cottier2024""]",False,1.0,True,is_blank,"[""cottier2024""]",False,1.0,True,1.2 to 4,"[""cottier2024""]",True,1.0,True,1.2-4,"[""cottier2024""]",True,1.0,True
q029,What is the estimated total energy consumption (in MWh) for a full training run of a 6.1 billion parameter transformer model?,103.5,['dodge2022'],Quote,MWh,103.5,"[""dodge2022""]",True,1.0,True,103500,"[""dodge2022""]",False,1.0,True,103.593,"[""dodge2022""]",True,1.0,True,103.593,"[""dodge2022""]",True,1.0,True,,[],False,0.0,True,"103,593","[""dodge2022"", ""han2024"", ""luccioni2024""]",False,0.3333333333333333,True,103593,"[""dodge2022""]",False,1.0,True,103.5,"[""dodge2022""]",True,1.0,True,103.5,"[""dodge2022""]",True,1.0,True,103593,"[""dodge2022""]",False,1.0,True,103.5,"[""dodge2022""]",True,1.0,True,103593,"[""dodge2022""]",False,1.0,True
q030,The central argument of one 2025 paper is that technical efficiency gains in AI may not lead to net environmental benefits due to what economic principle?,Jevons' Paradox,['luccioni2025a'],Quote,is_blank,Jevons' Paradox,"[""luccioni2025a""]",True,1.0,True,1,"[""luccioni2025a""]",False,1.0,True,Jevons’ Paradox,"[""luccioni2025a""]",False,1.0,True,Jevons' Paradox,"[""luccioni2025a""]",True,1.0,True,,[],False,0.0,True,1,"[""luccioni2025a"", ""zschache2025""]",False,0.5,True,is_blank,"[""is_blank""]",False,0.0,True,Jevons’ Paradox,"[""luccioni2025a""]",False,1.0,True,Jevons' Paradox,"[""luccioni2025a""]",True,1.0,True,1,"[""luccioni2025a""]",False,1.0,True,Jevons' Paradox,"[""luccioni2025a""]",True,1.0,True,1,"[""luccioni2025a""]",False,1.0,True
q031,"By 2027, the global AI demand is projected to account for how many billion cubic meters of water withdrawal?","[4.2,6.6]",['li2025b'],Quote,billion cubic meters,4.2 – 6.6,"[""li2025b""]",True,1.0,True,4.2 - 6.6,"[""li2025b""]",True,1.0,True,4.2 – 6.6,"[""li2025b""]",True,1.0,True,is_blank,"[""li2025b""]",False,1.0,True,,[],False,0.0,True,4.2 – 6.6,"[""li2025b""]",True,1.0,True,4.2 – 6.6,"[""li2025b""]",True,1.0,True,4.2 – 6.6,"[""li2025b""]",True,1.0,True,4.2 – 6.6,"[""li2025b""]",True,1.0,True,6.6,"[""li2025b""]",True,1.0,True,4.2 - 6.6,"[""li2025b""]",True,1.0,True,4.2 - 6.6,"[""li2025b""]",True,1.0,True
q032,"True or False: As researchers have determined the well-known diminishing returns of increased cost of AI research, Red AI is on the decline.",0,['schwartz2019'],Quote,is_blank,0,"[""schwartz2019""]",True,1.0,True,1,"[""schwartz2019""]",False,1.0,True,0,"[""schwartz2019""]",True,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,,[],False,0.0,True,1,"[""schwartz2019""]",False,1.0,True,0,"[""schwartz2019""]",True,1.0,True,0,"[""schwartz2019""]",True,1.0,True,0,"[""schwartz2019""]",True,1.0,True,is_blank,"[""schwartz2019""]",False,1.0,True,0,"[""schwartz2019""]",True,1.0,True,0,"[""schwartz2019""]",True,1.0,True
q033,"Using a growth strategy, what was the total wall-clock time required to train the FLM-101B model?",21.54,['li2025a'],Quote,days,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,,[],False,0.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True,21.54,"[""li2025a""]",True,1.0,True
q034,"True or False: At Facebook, a majority of model experimentation workflows utilize GPUs at over 80% capacity.",0,['wu2021a'],"Figure, Quote",is_blank,0,"[""wu2021a""]",True,1.0,True,30-50%,"[""wu2021a""]",False,1.0,True,0,"[""wu2021a""]",True,1.0,True,0,"[""wu2021a""]",True,1.0,True,,[],False,0.0,True,,[],False,0.0,True,0,"[""wu2021a""]",True,1.0,True,0,"[""wu2021a""]",True,1.0,True,0,"[""wu2021a""]",True,1.0,True,0,"[""wu2021a""]",True,1.0,True,0,"[""wu2021a""]",True,1.0,True,1,"[""wu2021a""]",False,1.0,True
q035,How much electricity (in MWh) is the training of GPT-3 estimated to have consumed?,1287,['jegham2025'],Quote,MWh,1287,"[""jegham2025"", ""li2025b""]",True,0.5,True,is_blank,"[""li2025b""]",False,0.0,True,1287,"[""li2025b""]",True,0.0,True,1287,"[""jegham2025""]",True,1.0,True,,[],False,0.0,True,1287,"[""li2025b"", ""jegham2025"", ""han2024"", ""morrison2025""]",True,0.25,True,1287,"[""li2025b""]",True,0.0,True,1287,"[""li2025b"", ""jegham2025""]",True,0.5,True,1287,"[""li2025b"", ""jegham2025""]",True,0.5,True,1287,"[""li2025b""]",True,0.0,True,1287,"[""li2025b"", ""jegham2025""]",True,0.5,True,1287,"[""li2025b"", ""jegham2025""]",True,0.5,True
q036,What is the name of the collaborative project that aims to create a standardized method for comparing the inference efficiency of various AI models?,AI Energy Score,['luccioni2025c'],Quote,is_blank,AI Energy Score,"[""luccioni2025c""]",True,1.0,True,is_blank,"[""luccioni2025c""]",False,1.0,True,AI Energy Score,"[""luccioni2025c""]",True,1.0,True,is_blank,"[""luccioni2025c""]",False,1.0,True,,[],False,0.0,True,1,"[""luccioni2025c""]",False,1.0,True,is_blank,"[""is_blank""]",False,0.0,True,AI Energy Score,"[""luccioni2025c""]",True,1.0,True,AI Energy Score,"[""luccioni2025c""]",True,1.0,True,is_blank,"[""luccioni2025c""]",False,1.0,True,AI Energy Score,"[""luccioni2025c""]",True,1.0,True,1,"[""luccioni2025c""]",False,1.0,True
